,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2204,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",796,Odoribacter splanchnicus,2,-0.00016418483644198292,0,13226
1,2011,4-Aminobutyrate (GABA),1007,Shigella sonnei,3,0.0031387710005642555,4,16698
2,2011,4-Aminobutyrate (GABA),454,Eubacterium eligens,3,0.01894866251129568,19,16670
3,2238,Urea,1064,Streptococcus salivarius,3,0.03928835796672936,20,31461
4,2233,Trimethylamine,46,Akkermansia muciniphila,2,-0.00012643878751461554,22,15121
5,2122,Isovalerate (3-Methylbutanoic acid),339,Coprococcus eutactus,3,0.002945163585870825,25,23650
6,2122,Isovalerate (3-Methylbutanoic acid),420,Dorea formicigenerans,3,0.0012457158378007538,26,23652
7,2049,Cholic acid (Cholate),551,Holdemania filiformis,3,0.003310733858323034,36,19056
8,2011,4-Aminobutyrate (GABA),126,Bacteroides fragilis,2,0.00030158586914619256,39,732
9,2226,"Thiamine (Vitamin B1, Thiamin)",260,Catenibacterium mitsuokai,3,0.0006667797028834244,50,30627
10,2217,Succinate,131,Bacteroides plebeius,2,0.002011852833334271,58,14054
11,2125,"L-Alanine (D-Alanine, Alanine)",420,Dorea formicigenerans,2,0.020682969073258062,60,7884
12,2122,Isovalerate (3-Methylbutanoic acid),608,Lactococcus lactis,3,0.0005198574580455029,63,23665
13,2233,Trimethylamine,455,Eubacterium hallii,2,0.0005032564367092318,64,15159
14,2233,Trimethylamine,457,Eubacterium rectale,2,0.02257454987915153,76,15161
15,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",339,Coprococcus eutactus,2,0.0020031847550777693,86,9034
16,2122,Isovalerate (3-Methylbutanoic acid),796,Odoribacter splanchnicus,2,0.0013553830883258346,88,7754
17,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",161,Blautia hansenii (Ruminococcus hansenii),3,0.022855376630123492,90,24362
18,2125,"L-Alanine (D-Alanine, Alanine)",969,Ruminococcus torques,3,0.00014084417495729973,99,23825
19,2081,Deoxycholic acid,314,Clostridium leptum,2,-0.00013694952295406626,107,5213
20,2038,Butyrate,484,Fusobacterium varium,2,0.0026722919514560184,109,2565
21,2122,Isovalerate (3-Methylbutanoic acid),454,Eubacterium eligens,3,0.002198244872099964,122,23654
22,2122,Isovalerate (3-Methylbutanoic acid),46,Akkermansia muciniphila,3,0.0015386267324247749,135,23617
23,2236,Tyramine,796,Odoribacter splanchnicus,2,-0.00016812371360597211,138,15386
24,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",339,Coprococcus eutactus,2,0.0007513342453298044,145,8458
25,2122,Isovalerate (3-Methylbutanoic acid),123,Bacteroides dorei,3,0.021620607009684385,149,23625
26,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",126,Bacteroides fragilis,2,0.002640540602286912,169,8436
27,2201,Propanoate (Propionate),9,Acidaminococcus fermentans,2,0.0002959404304042623,170,12960
28,2201,Propanoate (Propionate),968,Ruminococcus obeum,2,0.0070905495835668075,187,13024
29,2203,Putrescine,260,Catenibacterium mitsuokai,2,0.0006318760903119003,188,13131
30,2125,"L-Alanine (D-Alanine, Alanine)",968,Ruminococcus obeum,3,0.011365201447924522,190,23824
31,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",124,Bacteroides eggerthii,2,0.0001686129297264749,206,9010
32,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",134,Bacteroides thetaiotaomicron,2,0.00013641623597837604,207,8440
33,2212,Spermidine,512,Haemophilus influenzae,3,-0.0010000000000000009,220,29710
34,2125,"L-Alanine (D-Alanine, Alanine)",484,Fusobacterium varium,3,0.0011603027347208972,221,23805
35,2233,Trimethylamine,464,Faecalibacterium prausnitzii,2,0.0014308840835233205,236,15164
36,2226,"Thiamine (Vitamin B1, Thiamin)",796,Odoribacter splanchnicus,3,0.0008501509008371768,237,30650
37,2125,"L-Alanine (D-Alanine, Alanine)",159,Bilophila wadsworthia,3,0.000933611861737349,238,23785
38,2217,Succinate,968,Ruminococcus obeum,2,0.0008671567064293394,240,14104
39,2238,Urea,814,Parabacteroides merdae,3,0.0007806216116219566,244,31446
40,2240,"Valerate (Pentanoic acid, Pentanoate)",813,Parabacteroides johnsonii,3,-0.0010000000000000009,292,31589
41,2240,"Valerate (Pentanoic acid, Pentanoate)",1064,Streptococcus salivarius,2,-0.00019957023499928011,296,15693
42,2081,Deoxycholic acid,968,Ruminococcus obeum,2,-0.00016600126701915574,298,5248
43,2203,Putrescine,339,Coprococcus eutactus,2,-0.00037625470357405266,299,13138
44,2236,Tyramine,457,Eubacterium rectale,2,3.858725363092841e-05,310,15377
45,2240,"Valerate (Pentanoic acid, Pentanoate)",457,Eubacterium rectale,3,0.027309596765829003,321,31577
46,2122,Isovalerate (3-Methylbutanoic acid),969,Ruminococcus torques,3,-0.00036717683307996296,330,23681
47,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",123,Bacteroides dorei,2,0.0009057923067353756,341,8433
48,2238,Urea,157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",3,-3.9098256941816345e-05,344,31415
49,2238,Urea,425,Eggerthella lenta,2,-0.00021708615947158003,350,15517
50,2125,"L-Alanine (D-Alanine, Alanine)",131,Bacteroides plebeius,2,-2.728667993823209e-05,351,7862
51,2240,"Valerate (Pentanoic acid, Pentanoate)",157,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",2,0.00150870156176508,369,15647
52,2081,Deoxycholic acid,796,Odoribacter splanchnicus,3,6.187273306068608e-05,376,21146
53,2240,"Valerate (Pentanoic acid, Pentanoate)",9,Acidaminococcus fermentans,2,-0.0009382425049335732,385,15624
54,2240,"Valerate (Pentanoic acid, Pentanoate)",551,Holdemania filiformis,2,0.0004387364575871855,402,15672
55,2233,Trimethylamine,401,Desulfovibrio piger,3,0.0007385536615606147,417,31067
56,2203,Putrescine,314,Clostridium leptum,3,0.000291448381956716,420,29045
57,2217,Succinate,158,Bifidobacterium pseudocatenulatum,2,-0.0009273539630787476,443,14064
58,2240,"Valerate (Pentanoic acid, Pentanoate)",551,Holdemania filiformis,3,0.002145140576954585,449,31584
59,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",966,Ruminococcus gnavus,2,0.0022790428707683,471,8487
60,2201,Propanoate (Propionate),137,Bacteroides xylanisolvens,2,0.0006293797735232862,498,12978
61,2238,Urea,551,Holdemania filiformis,3,0.0003577516138353332,519,31440
62,2049,Cholic acid (Cholate),464,Faecalibacterium prausnitzii,2,0.004885859328774611,527,3140
63,2011,4-Aminobutyrate (GABA),123,Bacteroides dorei,2,-3.197491920237105e-05,540,729
64,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",137,Bacteroides xylanisolvens,3,0.0011123638406949077,568,24354
65,2233,Trimethylamine,55,Alistipes shahii,2,-0.0006732702933687218,616,15123
66,2122,Isovalerate (3-Methylbutanoic acid),159,Bilophila wadsworthia,2,-0.00037771105069306365,623,7729
67,2203,Putrescine,880,Prevotella timonensis,2,-0.00011368853770465923,688,13161
68,2125,"L-Alanine (D-Alanine, Alanine)",966,Ruminococcus gnavus,3,0.0005724544462115678,698,23823
69,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",969,Ruminococcus torques,2,3.4094424243624744e-05,705,8489
