,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2167,Methylamine (Monomethylamine),54,Alistipes putredinis,2,0.03272373593809785,8,10874
1,2135,L-Glycine (Glycine),135,Bacteroides uniformis,3,0.03596579754671758,13,24497
2,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",952,Roseburia intestinalis,3,0.002051490948897672,143,24395
3,2153,L-Threonine (Threonine),133,Bacteroides stercoris,3,0.005924750303788695,162,25791
4,2147,"L-Phenylalanine (Phenylalanine, D-Phenylalanine)",457,Eubacterium rectale,3,0.0269889737472212,170,25385
5,2125,"L-Alanine (D-Alanine, Alanine)",134,Bacteroides thetaiotaomicron,2,0.005322855027110829,209,7864
6,2240,"Valerate (Pentanoic acid, Pentanoate)",455,Eubacterium hallii,3,0.0027342937819598845,332,31575
7,2132,L-Fucose,159,Bilophila wadsworthia,3,0.014365866052373555,338,24289
8,2122,Isovalerate (3-Methylbutanoic acid),464,Faecalibacterium prausnitzii,3,0.010076957210286341,376,23660
9,2125,"L-Alanine (D-Alanine, Alanine)",126,Bacteroides fragilis,3,0.007713311791358479,505,23772
10,2032,beta-alanine (3-Aminopropionate),134,Bacteroides thetaiotaomicron,3,0.010020177485834947,549,18016
11,2241,Xanthine,126,Bacteroides fragilis,3,-8.816312807813365e-05,599,31620
12,2237,Uracil,814,Parabacteroides merdae,3,0.004645676725470227,635,31374
13,2239,Uridine,1064,Streptococcus salivarius,3,0.005512403238386754,1062,31533
14,2156,"L-Valine (Valine, D-Valine)",54,Alistipes putredinis,3,0.0036144776292378333,1491,25994
