,metabolite ID,metabolite names,microbes ID,microbes names,edgeType,error reduced,step added,position in x
0,2217,Succinate,54,Alistipes putredinis,2,0.02995033811323622,8,14042
1,2206,Raffinose,953,Roseburia inulinivorans,2,-0.00018537433771326217,17,13380
2,2217,Succinate,1099,Sutterella wadsworthensis,2,0.004084592435403933,85,14111
3,2242,XOS (Xylooligosaccharide),966,Ruminococcus gnavus,2,0.002102734464362377,95,15831
4,2132,L-Fucose,461,Eubacterium ventriosum,3,0.00232356706681236,106,24307
5,2065,D-Galacturonate,953,Roseburia inulinivorans,3,0.0084254537663363,121,20004
6,2091,"Folic acid (Folate, Vitamin B9)",796,Odoribacter splanchnicus,3,-0.000506678453577547,131,21794
7,2125,"L-Alanine (D-Alanine, Alanine)",608,Lactococcus lactis,2,0.0028378515979625707,136,7897
8,2004,"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)",149,Bifidobacterium adolescentis,2,0.0020261822718141698,142,235
9,2242,XOS (Xylooligosaccharide),953,Roseburia inulinivorans,3,0.01703144482810026,154,31740
10,2132,L-Fucose,968,Ruminococcus obeum,3,-0.0007082363679069559,155,24328
11,2217,Succinate,338,Coprococcus comes,2,0.006502669229022429,161,14073
12,2077,D-Tagaturonate,455,Eubacterium hallii,3,-0.0001140401119422707,162,20847
13,2068,D-Glucose (Glucose),878,Prevotella salivae,2,0.004835136066798862,177,4304
14,2034,"Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)",814,Parabacteroides merdae,3,0.001757861043414688,181,18198
15,2237,Uracil,329,Collinsella aerofaciens (Eubacterium aerofaciens),3,0.009743069289124162,197,31352
16,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",401,Desulfovibrio piger,3,0.005628796974940675,208,24371
17,2174,N-Acetylgalactosamine (N-Acetyl-D-galactosamine),161,Blautia hansenii (Ruminococcus hansenii),3,0.01585095592484731,226,27170
18,2134,"L-Glutamine (D-Glutamine, Glutamine)",551,Holdemania filiformis,3,0.0016021275405395663,231,24456
19,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",952,Roseburia intestinalis,3,0.00952730778623434,258,24395
20,2117,"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)",329,Collinsella aerofaciens (Eubacterium aerofaciens),3,0.0008315290214048199,274,23288
21,2122,Isovalerate (3-Methylbutanoic acid),326,Clostridium symbiosum,2,-0.00029646182400788756,280,7735
22,2101,Glycodeoxycholate,126,Bacteroides fragilis,3,0.0003900062863196885,286,22332
23,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",968,Ruminococcus obeum,2,0.00023554741987652505,297,9064
24,2233,Trimethylamine,135,Bacteroides uniformis,2,0.00012053498340769409,300,15137
25,2122,Isovalerate (3-Methylbutanoic acid),123,Bacteroides dorei,3,0.013040586851834957,320,23625
26,2175,"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)",460,Eubacterium siraeum,3,0.0006737372284476573,338,27258
27,2214,Stachyose,54,Alistipes putredinis,3,0.00041820050232121986,345,29810
28,2238,Urea,326,Clostridium symbiosum,3,0.0009147485432564606,349,31423
29,2155,L-Tyrosine (Tyrosine),54,Alistipes putredinis,3,0.005601434237176517,351,25922
30,2122,Isovalerate (3-Methylbutanoic acid),133,Bacteroides stercoris,2,0.00040983305932351666,364,7719
31,2125,"L-Alanine (D-Alanine, Alanine)",968,Ruminococcus obeum,3,0.005494511884044151,383,23824
32,2122,Isovalerate (3-Methylbutanoic acid),151,Bifidobacterium animalis,3,-0.0010000000000000009,403,23636
33,2229,Thymine,260,Catenibacterium mitsuokai,3,0.00021827656868600442,421,30843
34,2011,4-Aminobutyrate (GABA),814,Parabacteroides merdae,2,5.157329848992642e-05,434,774
35,2081,Deoxycholic acid,1007,Shigella sonnei,2,-0.00021643914765800965,437,5250
36,2081,Deoxycholic acid,796,Odoribacter splanchnicus,2,0.0015117468413852198,440,5234
37,2180,Nitrate,131,Bacteroides plebeius,2,-0.0010000000000000009,442,11606
38,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",122,Bacteroides coprophilus,3,0.0003073222647855811,488,24344
39,2222,Taurochenodeoxycholate,339,Coprococcus eutactus,3,0.00022453745828177052,500,30346
40,2011,4-Aminobutyrate (GABA),260,Catenibacterium mitsuokai,3,7.160057147015397e-05,502,16659
41,2203,Putrescine,969,Ruminococcus torques,2,0.00017994595358794552,510,13169
42,2173,N-Acetyl-D-mannosamine,326,Clostridium symbiosum,3,-0.0009418949192747661,511,27103
43,2186,Oxalate,870,Prevotella copri,2,-0.0010000000000000009,512,12079
44,2127,L-Arginine (Arginine),969,Ruminococcus torques,3,0.004277583144854713,520,23969
45,2174,N-Acetylgalactosamine (N-Acetyl-D-galactosamine),814,Parabacteroides merdae,2,0.004411932531841467,595,11286
46,2064,D-Galactose,953,Roseburia inulinivorans,3,0.004438484370731688,600,19932
47,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",953,Roseburia inulinivorans,2,0.0004144311101140774,610,9060
48,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",135,Bacteroides uniformis,3,0.012752482579280078,619,24353
49,2155,L-Tyrosine (Tyrosine),969,Ruminococcus torques,2,0.0009157178494980656,628,10073
50,2213,Spermine,878,Prevotella salivae,2,-0.0010000000000000009,637,13880
51,2174,N-Acetylgalactosamine (N-Acetyl-D-galactosamine),123,Bacteroides dorei,2,0.0011912832118171623,672,11241
52,2122,Isovalerate (3-Methylbutanoic acid),814,Parabacteroides merdae,3,0.0008476022584178455,685,23670
53,2183,Octanoate (Caprylic acid),454,Eubacterium eligens,3,0.0033562510982467764,692,27758
54,2053,Citrate,134,Bacteroides thetaiotaomicron,3,0.004392696385800199,695,19240
55,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",134,Bacteroides thetaiotaomicron,3,-8.25123270616901e-05,699,24352
56,2240,"Valerate (Pentanoic acid, Pentanoate)",1007,Shigella sonnei,3,0.0068543571652528446,700,31602
57,2028,"Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)",870,Prevotella copri,3,9.84738847703559e-05,716,17767
58,2159,Lithocholic acid,329,Collinsella aerofaciens (Eubacterium aerofaciens),2,0.00043268492587422713,727,10328
59,2167,Methylamine (Monomethylamine),952,Roseburia intestinalis,2,0.0014414355078401497,735,10931
60,2137,L-Homoserine,55,Alistipes shahii,3,0.0006206999822758741,738,24627
61,2238,Urea,152,Bifidobacterium bifidum,3,0.0005223382764356632,760,31413
62,2233,Trimethylamine,149,Bifidobacterium adolescentis,3,-0.0004713585698110645,781,31051
63,2141,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",309,Clostridium difficile,3,-0.0011381475963618826,812,24940
64,2201,Propanoate (Propionate),159,Bilophila wadsworthia,3,0.002385746799778543,824,28897
65,2122,Isovalerate (3-Methylbutanoic acid),969,Ruminococcus torques,3,4.473700415386084e-05,834,23681
66,2127,L-Arginine (Arginine),460,Eubacterium siraeum,3,9.984200566315327e-05,860,23946
67,2214,Stachyose,54,Alistipes putredinis,2,0.0011427384135151986,870,13898
68,2237,Uracil,55,Alistipes shahii,3,-0.00027340947175502617,911,31323
69,2201,Propanoate (Propionate),314,Clostridium leptum,2,0.0011194730886925353,915,12989
70,2071,D-Mannitol (Mannitol),260,Catenibacterium mitsuokai,3,-0.0003351219164726693,916,20403
71,2125,"L-Alanine (D-Alanine, Alanine)",1007,Shigella sonnei,2,0.0006061818187226287,940,7914
72,2122,Isovalerate (3-Methylbutanoic acid),460,Eubacterium siraeum,2,0.0011012968721290095,941,7746
73,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",119,Bacteroides caccae,3,-0.0002145868407975593,945,24342
74,2122,Isovalerate (3-Methylbutanoic acid),329,Collinsella aerofaciens (Eubacterium aerofaciens),3,0.0003244527067143288,956,23648
75,2240,"Valerate (Pentanoic acid, Pentanoate)",968,Ruminococcus obeum,3,0.0025771491805386404,959,31600
76,2133,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",814,Parabacteroides merdae,3,0.0005942382927243139,960,24390
77,2125,"L-Alanine (D-Alanine, Alanine)",460,Eubacterium siraeum,3,-0.00026827598570267064,963,23802
